Guideline,ID,XLSM ID,Initial Status,Status,Judge Action,Judge Reason,DOCX Control Requirement,XLSM Control Requirement,Judgment Changed
Data Center and Physical Protection Guideline_v.2.0,8.1,8.1,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Backup data must be transferred to a different fire compartment and at least once per week to a different building. (ORG01.01),Backup data must be transferred to a different fire compartment and at least once per week to a different building. (ORG01.01),False
Data Center and Physical Protection Guideline_v.2.0,8.10,8.10,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Maintenance contracts with start of repair work latest on next working day must be concluded for all trades which are relevant to operations. (ORG07.01),Maintenance contracts with start of repair work latest on next working day must be concluded for all trades which are relevant to operations. (ORG07.01),False
Data Center and Physical Protection Guideline_v.2.0,8.11,8.11,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Operating instructions must be available that describe the method of dealing with third-party personnel, the coordination process for maintenance windows, precautions for specific activities or switching operations, as well as special aspects of maintenance and repair work. (ORG08.01)","Operating instructions must be available that describe the method of dealing with third-party personnel, the coordination process for maintenance windows, precautions for specific activities or switching operations, as well as special aspects of maintenance and repair work. (ORG08.01)",False
Data Center and Physical Protection Guideline_v.2.0,8.12,8.12,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Personnel must be provided with safety instruction at least once per year and new employees at the beginning of their employment contract. (ORG09.01),Personnel must be provided with safety instruction at least once per year and new employees at the beginning of their employment contract. (ORG09.01),False
Data Center and Physical Protection Guideline_v.2.0,8.13,8.13,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Employees and service providers must be trustworthy and subject to a confidentiality obligation. (ORG09.02),Employees and service providers must be trustworthy and subject to a confidentiality obligation. (ORG09.02),False
Data Center and Physical Protection Guideline_v.2.0,8.14,8.14,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Technical infrastructure must be inspected by qualified and correspondingly equipped personnel, including deputization rules. (ORG10.01)","Technical infrastructure must be inspected by qualified and correspondingly equipped personnel, including deputization rules. (ORG10.01)",False
Data Center and Physical Protection Guideline_v.2.0,8.15,8.15,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Publication of security-relevant data center information must be avoided. (ORG12.01),Publication of security-relevant data center information must be avoided. (ORG12.01),False
Data Center and Physical Protection Guideline_v.2.0,8.2,8.2,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Secure area must be equipped with smoking ban signs. (ORG02.01),Secure area must be equipped with smoking ban signs. (ORG02.01),False
Data Center and Physical Protection Guideline_v.2.0,8.3,8.3,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"IT rooms, all relevant technical rooms, routes, and external installations must undergo a visual inspection at least once a week and the performance of the inspection must be recorded. (ORG03.01)","IT rooms, all relevant technical rooms, routes, and external installations must undergo a visual inspection at least once a week and the performance of the inspection must be recorded. (ORG03.01)",False
Data Center and Physical Protection Guideline_v.2.0,8.4,8.4,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Operations must comply in terms of adherence to the rules, tidiness, cleanliness, accessibility, inscriptions, signs, and disposal. (ORG04.01)","Operations must comply in terms of adherence to the rules, tidiness, cleanliness, accessibility, inscriptions, signs, and disposal. (ORG04.01)",False
Data Center and Physical Protection Guideline_v.2.0,8.5,8.5,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Responsibilities for the implementation of physical security measures must be defined. People authorized to enter protection class 4 must require additional authorization to take people with them. (ORG05.01),Responsibilities for the implementation of physical security measures must be defined. People authorized to enter protection class 4 must require additional authorization to take people with them. (ORG05.01),False
Data Center and Physical Protection Guideline_v.2.0,8.6,8.6,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Relevant parameters of technical component operations must be recorded and regularly evaluated according to defined responsibilities. (ORG05.02E),Relevant parameters of technical component operations must be recorded and regularly evaluated according to defined responsibilities. (ORG05.02E),False
Data Center and Physical Protection Guideline_v.2.0,8.7,8.7,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"With respect to the letting of data center areas there must be – with reference to the customer – rules concerning physical security, energy efficiency, capacity planning, business organization and the exchange of information to which the customer must comply. Compliance must be verified. (ORG05.03E)","With respect to the letting of data center areas there must be – with reference to the customer – rules concerning physical security, energy efficiency, capacity planning, business organization and the exchange of information to which the customer must comply. Compliance must be verified. (ORG05.03E)",False
Data Center and Physical Protection Guideline_v.2.0,8.8,8.8,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Important key indicators (KPI, Key Performance Indicators) must be recorded, evaluated, and used for process improvement. (ORG05.04E)","Important key indicators (KPI, Key Performance Indicators) must be recorded, evaluated, and used for process improvement. (ORG05.04E)",False
Data Center and Physical Protection Guideline_v.2.0,8.9,8.9,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Processes between IT operation, lifecycle management and facility management must be coordinated. (ORG06.01)","Processes between IT operation, lifecycle management and facility management must be coordinated. (ORG06.01)",False
Data Center and Physical Protection Guideline_v.2.0,9,9,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,The following data center documentation must be available:,The following data center documentation must be available:,False
Data Center and Physical Protection Guideline_v.2.0,9.1,9.1,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Data center operating manual with security concept. (DOC01.01),Data center operating manual with security concept. (DOC01.01),False
Data Center and Physical Protection Guideline_v.2.0,9.10,9.10,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Single-line diagram of the electrical supply. (DOC04.01),Single-line diagram of the electrical supply. (DOC04.01),False
Data Center and Physical Protection Guideline_v.2.0,9.11,9.11,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Cooling and ventilation schematics. (DOC04.02),Cooling and ventilation schematics. (DOC04.02),False
Data Center and Physical Protection Guideline_v.2.0,9.12,9.12,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Overviews of fire alarm lines and detectors. (DOC04.03),Overviews of fire alarm lines and detectors. (DOC04.03),False
Data Center and Physical Protection Guideline_v.2.0,9.13,9.13,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Overview of extinguishing and fire prevention equipment. (DOC04.04),Overview of extinguishing and fire prevention equipment. (DOC04.04),False
Data Center and Physical Protection Guideline_v.2.0,9.14,9.14,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Installation plans and diagrams of the safety equipment. (DOC04.05),Installation plans and diagrams of the safety equipment. (DOC04.05),False
Data Center and Physical Protection Guideline_v.2.0,9.15,9.15,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Power requirement calculation and design specifications. (DOC04.06A),Power requirement calculation and design specifications. (DOC04.06A),False
Data Center and Physical Protection Guideline_v.2.0,9.16,9.16,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Air-conditioning concept. (DOC04.07A),Air-conditioning concept. (DOC04.07A),False
Data Center and Physical Protection Guideline_v.2.0,9.17,9.17,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Supplementary risk assessment for the design of technical systems and constructions. (DOC04.08A),Supplementary risk assessment for the design of technical systems and constructions. (DOC04.08A),False
Data Center and Physical Protection Guideline_v.2.0,9.18,9.18,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Maintenance schedule. (DOC05.01),Maintenance schedule. (DOC05.01),False
Data Center and Physical Protection Guideline_v.2.0,9.19,9.19,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Operating instructions. (DOC06.01),Operating instructions. (DOC06.01),False
Data Center and Physical Protection Guideline_v.2.0,9.2,9.2,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Risk analysis for the environment of the data center location. (DOC01.02A),Risk analysis for the environment of the data center location. (DOC01.02A),False
Data Center and Physical Protection Guideline_v.2.0,9.20,9.20,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,List of rooms. (DOC07.01),List of rooms. (DOC07.01),False
Data Center and Physical Protection Guideline_v.2.0,9.21,9.21,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Data sheets of the important technical components. (DOC07.02),Data sheets of the important technical components. (DOC07.02),False
Data Center and Physical Protection Guideline_v.2.0,9.22,9.22,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Verification of the execution of performance and function tests upon commissioning. (DOC08.01),Verification of the execution of performance and function tests upon commissioning. (DOC08.01),False
Data Center and Physical Protection Guideline_v.2.0,9.3,9.3,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Alarm plan / emergency concept. (DOC01.03),Alarm plan / emergency concept. (DOC01.03),False
Data Center and Physical Protection Guideline_v.2.0,9.4,9.4,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Fire protection concept. (DOC01.04),Fire protection concept. (DOC01.04),False
Data Center and Physical Protection Guideline_v.2.0,9.5,9.5,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Site survey in the case of new construction projects. (DOC01.05E),Site survey in the case of new construction projects. (DOC01.05E),False
Data Center and Physical Protection Guideline_v.2.0,9.6,9.6,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Site and building plans. (DOC02.01),Site and building plans. (DOC02.01),False
Data Center and Physical Protection Guideline_v.2.0,9.7,9.7,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Floor plans for the IT and technical areas. (DOC02.02),Floor plans for the IT and technical areas. (DOC02.02),False
Data Center and Physical Protection Guideline_v.2.0,9.8,9.8,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Route plans of the main supply paths. (DOC03.01),Route plans of the main supply paths. (DOC03.01),False
Data Center and Physical Protection Guideline_v.2.0,9.9,9.9,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Documentation of the telecommunication cabling. (DOC03.02E),Documentation of the telecommunication cabling. (DOC03.02E),False
Data Security Governance Guideline_v3.0,1,1,Content delta: requirement differs,Content delta: requirement differs,confirmed,Confirmed after footnote/reference stripping.,Information must be labelled considering its confidentiality and business impact.,"Information must be labelled considering its confidentiality, business impact [This requirement applies only to information processed as part of manual data handling activities. However, all information must be protected appropriately as outlined in the other guidelines. ]",False
Data Security Governance Guideline_v3.0,1.1,1.1,Content delta: requirement differs,Content delta: requirement differs,confirmed,Confirmed after footnote/reference stripping.,"Information must be labelled, considering its confidentiality, business impact and in accordance with the below listed labels: “Strictly Confidential” - information with a business impact classified as “Critical” and limited for the use within a very limited group of people, typically protected by regulation or law. “Confidential” - information with a business impact classified as “Major” and limited for use only by a restricted group of people. “Internal” - information with a business impact classified as “Minor” and limited for use only within the legal entities.","Information, including information that is received from outside the legal entity, must be labelled, considering its confidentiality, business impact [9] and in accordance with the below listed labels: - “Strictly Confidential” - information with a business impact classified as “Critical” and limited for the use within a very limited group of people, typically protected by regulation or law. - “Confidential” - information with a business impact classified as “Major” and limited for use only by a restricted group of people. - “Internal” - information with a business impact classified as “Minor” and limited for use only within the legal entities.",False
Data Security Governance Guideline_v3.0,1.2,1.2,Content delta: requirement differs,Content delta: requirement differs,confirmed,Confirmed after footnote/reference stripping.,Information classified as “Public” (information with a business impact9 classified as “Negligible” and limited to and authorized for general use inside and outside the legal entity) and “External” (Information with a business impact9 classified as “Minor” and authorized for the use inside and outside of DBG) should be labelled.,"Information classified as “Public” (information with a business impact [9] classified as “Negligible” and limited to and authorized for general use inside and outside the legal entity) and “External” (Information with a business impact [9] classified as “Minor” and authorized for the use inside and outside of DBG) should be labelled. [This requirement applies only to information processed as part of manual data handling activities. However, all information must be protected appropriately as outlined in the other guidelines. ]",False
Data Security Governance Guideline_v3.0,1.3,1.3,Content delta: requirement differs,Content delta: requirement differs,confirmed,Confirmed after footnote/reference stripping.,"All physical and printable electronic documents classified as “Internal” ""Confidential"", ""Strictly Confidential"" should be labelled based on the confidentiality of included information at the time when they are created and before printing.","All physical and printable electronic documents classified as “Internal” , ""Confidential"", ""Strictly Confidential"" should be labelled based on the confidentiality of included information at the time when they are created and before printing . [This requirement applies only to information processed as part of manual data handling activities. However, all information must be protected appropriately as outlined in the other guidelines. ]",False
Data Security Governance Guideline_v3.0,1.4,1.4,Content delta: requirement differs,Content delta: requirement differs,confirmed,Confirmed after footnote/reference stripping.,"Process(es), control(s) should be established to monitor, track and enforce applicable controls over the declassification of emails, documents ensuring proper labelling and protection. Measures must be implemented to prevent label circumvention when file formats are changed ●.","Process(es), control(s) should be established to monitor, track and enforce applicable controls over the declassification of emails, documents ensuring proper labelling and protection. Measures must be implemented to prevent label circumvention when file formats are changed ●. [This requirement applies only to information processed as part of manual data handling activities. However, all information must be protected appropriately as outlined in the other guidelines. ]",False
Data Security Governance Guideline_v3.0,10,10,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,The transfer of media must be securely managed to ensure the protection and integrity of the information throughout the entire transfer process.,The transfer of media must be securely managed to ensure the protection and integrity of the information throughout the entire transfer process.,False
Data Security Governance Guideline_v3.0,10.1,10.1,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Courier identification standards and procedures to verify the identification of couriers should be defined to ensure that only authorized, reliable transport or couriers are used for the transfer of media.","Courier identification standards and procedures to verify the identification of couriers should be defined to ensure that only authorized, reliable transport or couriers are used for the transfer of media.",False
Data Security Governance Guideline_v3.0,10.2,10.2,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Media transport logs should be kept over the whole lifecycle if this is possible.,Media transport logs should be kept over the whole lifecycle if this is possible.,False
Data Security Governance Guideline_v3.0,11,11,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Procedures and measures for secure disposal of data and media containing information must be defined and implemented.,Procedures and measures for secure disposal of data and media containing information must be defined and implemented.,False
Data Security Governance Guideline_v3.0,11.1,11.1,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"The procedures and measures for secure disposal of data, present on premises or stored externally, must be implemented proportionally to the classification label of information and make sure that the data is deleted securely and completely.","The procedures and measures for secure disposal of data, present on premises or stored externally, must be implemented proportionally to the classification label of information and make sure that the data is deleted securely and completely.",False
Data Security Governance Guideline_v3.0,11.2,11.2,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"The procedures and measures for secure disposal of media containing information must be implemented proportionally to the classification label of information, ensuring data is irrevocably deleted from storage media, storages, databases, and endpoint devices.","The procedures and measures for secure disposal of media containing information must be implemented proportionally to the classification label of information, ensuring data is irrevocably deleted from storage media, storages, databases, and endpoint devices.",False
Data Security Governance Guideline_v3.0,11.2.1,11.2.1,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Media must be securely disposed by using disposal mechanism approved by the legal entity.,Media must be securely disposed by using disposal mechanism approved by the legal entity.,False
Data Security Governance Guideline_v3.0,11.2.2,11.2.2,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Media must be disposed of in a way that renders the stored data unrecoverable by any forensic means.,Media must be disposed of in a way that renders the stored data unrecoverable by any forensic means.,False
Data Security Governance Guideline_v3.0,11.2.3,11.2.3,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Media must be securely and safely stored before disposal, by storing in locked storage rooms or containers.","Media must be securely and safely stored before disposal, by storing in locked storage rooms or containers.",False
Data Security Governance Guideline_v3.0,11.2.4,11.2.4,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Disposal of media must only be performed in areas intended for this purpose.,Disposal of media must only be performed in areas intended for this purpose.,False
Data Security Governance Guideline_v3.0,11.2.5,11.2.5,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,All steps of the media disposal process must be suitably documented.,All steps of the media disposal process must be suitably documented.,False
Data Security Governance Guideline_v3.0,11.2.6,11.2.6,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"All media items should be collected and disposed of securely, rather than attempting to separate out the sensitive items.","All media items should be collected and disposed of securely, rather than attempting to separate out the sensitive items.",False
Data Security Governance Guideline_v3.0,11.2.7,11.2.7,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Media containing information should be stored and disposed of securely by incineration or shredding, or secure erasure of data for use by another application within the organization.","Media containing information should be stored and disposed of securely by incineration or shredding, or secure erasure of data for use by another application within the organization.",False
Data Security Governance Guideline_v3.0,11.2.8,11.2.8,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"When accumulating media for disposal, consideration should be given to the aggregation effect, which can cause a large quantity of non-confidential information to become confidential.","When accumulating media for disposal, consideration should be given to the aggregation effect, which can cause a large quantity of non-confidential information to become confidential.",False
Data Security Governance Guideline_v3.0,11.2.9,11.2.9,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Equipment containing internal, confidential, or strictly confidential information must be rendered unrecoverable via a secure wipe program prior to equipment disposal.","Equipment containing internal, confidential, or strictly confidential information must be rendered unrecoverable via a secure wipe program prior to equipment disposal.",False
Data Security Governance Guideline_v3.0,11.3,11.3,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Only suppliers in accordance with Third-Party ICT Risk Management Guideline must be used for secure collection and disposal of media.,Only suppliers in accordance with Third-Party ICT Risk Management Guideline must be used for secure collection and disposal of media.,False
Data Security Governance Guideline_v3.0,2,2,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Data flows for all Data Crown Jewels must be documented, and the Data Crown Jewel inventory as well as the associated Data Flow Registry must be maintained and regularly updated.","Data flows for all Data Crown Jewels must be documented, and the Data Crown Jewel inventory as well as the associated Data Flow Registry must be maintained and regularly updated.",False
Data Security Governance Guideline_v3.0,2.1,2.1,Content delta: requirement differs,Content delta: requirement differs,confirmed,Confirmed after footnote/reference stripping.,"Data flows for each Data Crown Jewel must be documented, maintained in centralized Data Flow Registry●. Data Crown Jewels are mission-critical data whose unauthorized disclosure would cause intolerable and existential business impact. This includes but is not limited to: Regulatory Impact: Severe regulatory consequences such as the revocation of essential licenses or authorizations, making continued business operations impossible. Financial Impact: Severe financial losses that threaten the organization’s solvency or ability to continue operations. Customer and Market Trust Impact: Severe and sustained harmful customer or market reaction, e.g. significant market movements that threaten business viability. Operational Impact: Permanent or sustained disruption of critical core services and operations that prevents the organization from functioning","Data flows for each Data Crown Jewel must be documented, maintained in centralized Data Flow Registry ● Data Crown Jewels [10] are mission-critical data whose unauthorized disclosure would cause intolerable and existential business impact. This includes but is not limited to: - Regulatory Impact: Severe regulatory consequences such as the revocation of essential licenses or authorizations, making continued business operations impossible. - Financial Impact: Severe financial losses that threaten the organization’s solvency or ability to continue operations. - Customer and Market Trust Impact: Severe and sustained harmful customer or market reaction, e.g. significant market movements that threaten business viability. - Operational Impact: Permanent or sustained disruption of critical core services and operations that prevents the organization from functioning [10] Unlike sensitivity labels that are applied by end users (e.g., Public, External, Internal, Confidential, Strictly confidential), theidentification of Data Crown Jewels follows a top‑down approach driven by senior management.",False
Data Security Governance Guideline_v3.0,2.2,2.2,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,The inventory of Data Crown Jewels and associated Data Flow Registry must be reviewed at least annually to ensure completeness and ongoing relevance●.,The inventory of Data Crown Jewels and associated Data Flow Registry must be reviewed at least annually to ensure completeness and ongoing relevance ●,False
Data Security Governance Guideline_v3.0,3,3,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,It must be ensured that unauthorized data disclosure is mitigated and transferred data is protected.,It must be ensured that unauthorized data disclosure is mitigated and transferred data is protected. .,False
Data Security Governance Guideline_v3.0,3.1,3.1,Content delta: requirement differs,Content delta: requirement differs,confirmed,Confirmed after footnote/reference stripping.,"Data Leakage Prevention tool and measures must be implemented to identify, monitor, and detect data leakage and protect data in transit. This must protect data against unauthorized disclosure, copying, or transmission, through risk-based approach.","Data Leakage Prevention tool and measures must be implemented to identify, monitor, and detect data leakage and protect data in transit. This must protect data against unauthorized disclosure , copying, deletionor transmission though risk-based approach.",False
Data Security Governance Guideline_v3.0,4,4,Content delta: requirement differs,Content delta: requirement differs,confirmed,Confirmed after footnote/reference stripping.,Data Leakage Prevention measures for communications over email must be implemented.,Data Leakage Prevention measures for communications over email must be implemented. This control requirement applies to Microsoft 365 email only.,False
Data Security Governance Guideline_v3.0,4.1,4.1,Content delta: requirement differs,Content delta: requirement differs,confirmed,Confirmed after footnote/reference stripping.,"Monitoring of emails must be enabled, at least based on the classification labels. Emails – especially non-labelled outbound ones – and attachments must be subject to appropriate technical controls.","Monitoring of emails must be enabled, at least based on the classification labels. Emails - especially and non-labelled outbound ones - and attachments subject to appropriate technical controls. [This control requirement applies to Microsoft 365 email only.]",False
Data Security Governance Guideline_v3.0,4.2,4.2,Content delta: requirement differs,Content delta: requirement differs,confirmed,Confirmed after footnote/reference stripping.,DBAG and/or adopting legal entity email addresses created for externals sending strictly confidential messages must be secured by specific DLP measures mentioned above.,DBAG and/or adopting legal entity email addresses created for externals sending strictly confidential messages must be secured by specific DLP measures mentioned above. [This control requirement applies to Microsoft 365 email only.],False
Data Security Governance Guideline_v3.0,4.3,4.3,Content delta: requirement differs,Content delta: requirement differs,confirmed,Confirmed after footnote/reference stripping.,"The maximum principle must be applied, ensuring that the overall classification for email reflects the highest sensitivity of any contained component wherever possible●.","The maximum principle must be applied, ensuring that the overall classification for email reflects the highest sensitivity of any contained component wherever possible●. [This control requirement applies to Microsoft 365 email only.]",False
Data Security Governance Guideline_v3.0,5,5,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"DLP Endpoint protection must be implemented to protect workstation devices and user equipment from data leakage, restricting the use of removable storage media by default, subject only to temporary, monitored exceptions based on legitimate need.","DLP Endpoint protection must be implemented to protect workstation devices and user equipment from data leakage, restricting the use of removable storage media by default, subject only to temporary, monitored exceptions based on legitimate need.",False
Data Security Governance Guideline_v3.0,5.1,5.1,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"All hardware and activation of ports that can be used for connection of storage media must be blocked. The necessary ports to use storage media must be enabled temporarily only if there is a business, technical or operational need, unless there is no other data access solution and exception process must be established, implemented●.","All hardware and activation of ports that can be used for connection of storage media must be blocked. The necessary ports to use storage media must be enabled temporarily only if there is a business, technical or operational need, unless there is no other data access solution and exception process must be established, implemented.",False
Data Security Governance Guideline_v3.0,5.2,5.2,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Standard software images must be designed and implemented for all workstation devices of legal entities, ensuring that ports for storage media connections are deactivated, anti-malware protection is in place, and administrator rights for users are disabled.","Standard software images must be designed and implemented for all workstation devices of legal entities, ensuring that ports for storage media connections are deactivated, anti-malware protection is in place, and administrator rights for users are disabled.",False
Data Security Governance Guideline_v3.0,5.3,5.3,Content delta: requirement differs,Content delta: requirement differs,confirmed,Confirmed after footnote/reference stripping.,"If there is a need to use removable storage media, transfer of information to such storage media must be monitored.","If there is a need to use removable storage media, transfer of information to such storage media should be monitored .",False
Data Security Governance Guideline_v3.0,6,6,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Use of Online and Instant messaging services must be restricted to authorized services, with appropriate measures applied when processing information based on its classification","Use of Online and Instant messaging services must be restricted to authorized services, with appropriate measures applied when processing information based on its classification.",False
Data Security Governance Guideline_v3.0,6.1,6.1,Content delta: requirement differs,Content delta: requirement differs,confirmed,Confirmed after footnote/reference stripping.,Use of online services must be limited as below:,Use of online services such as file sharing services must be limited as below,False
Data Security Governance Guideline_v3.0,6.2,6.2,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Electronic communication must be limited by using legal entity’s authorized instant messaging services and by using legal entity’s email accounts. Listings of authorized instant messaging services must be defined by legal entity.,Electronic communication must be limited by using legal entity’s authorized instant messaging services and by using legal entity’s email accounts. Listings of authorized instant messaging services must be defined by legal entity.,False
Data Security Governance Guideline_v3.0,7,7,Content delta: description and requirement differ,Content delta: description and requirement differ,confirmed,Confirmed after footnote/reference stripping.,It must be ensured that printing activities are controlled in accordance with the classification of information to prevent data leakage.,"It must be ensured that printing activities are controlled in accordance with the classification of information to prevent data leakage. This refers to both physical and virtual printing (e.g., hard-copy printing, Print to PDF).",False
Data Security Governance Guideline_v3.0,7.1,7.1,Content delta: description and requirement differ,Content delta: description and requirement differ,confirmed,Confirmed after footnote/reference stripping.,"For “Strictly Confidential” information or Data Crown Jewels, appropriate confirmation mechanisms must be implemented prior to printing:","For “Strictly Confidential” information or Data Crown Jewels, appropriate confirmation mechanisms must be implemented prior to printing. For Public, External, Internal, and Confidential information this is not required.",False
Data Security Governance Guideline_v3.0,8,8,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Management procedures and measures must be in place to securely manage storage media and the data it contains throughout its lifecycle.,Management procedures and measures must be in place to securely manage storage media and the data it contains throughout its lifecycle.,False
Data Security Governance Guideline_v3.0,8.1,8.1,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,All copies of storage media should be clearly marked as such. Multiple copies of sensitive data should be stored on separate media in separate locations.,All copies of storage media should be clearly marked as such. Multiple copies of sensitive data should be stored on separate media in separate locations.,False
Data Security Governance Guideline_v3.0,8.2,8.2,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"All types of storage media should have its lifetime defined, type and frequency of tests for guaranteeing the availability of stored data without degradation.","All types of storage media should have its lifetime defined, type and frequency of tests for guaranteeing the availability of stored data without degradation.",False
Data Security Governance Guideline_v3.0,8.3,8.3,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Legal entity data which needs to be retained longer than the life of the storage media must be stored on new media before the end of its lifetime.,Legal entity data which needs to be retained longer than the life of the storage media must be stored on new media before the end of its lifetime.,False
Data Security Governance Guideline_v3.0,8.4,8.4,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"To mitigate the risk of media degrading while stored data is still needed, the data should be transferred to fresh storage media before becoming unreadable.","To mitigate the risk of media degrading while stored data is still needed, the data should be transferred to fresh storage media before becoming unreadable.",False
Data Security Governance Guideline_v3.0,8.5,8.5,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Where electronic storage media are chosen, procedures to ensure the ability to access records throughout the retention period should be established.","Where electronic storage media are chosen, procedures to ensure the ability to access records throughout the retention period should be established.",False
Data Security Governance Guideline_v3.0,8.6,8.6,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Storage should be chosen such that required records can be retrieved in an acceptable time frame and format.,Storage should be chosen such that required records can be retrieved in an acceptable time frame and format.,False
Data Security Governance Guideline_v3.0,8.7,8.7,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,For all storage media it must be defined if it is authorized to be taken off-premises.,For all storage media it must be defined if it is authorized to be taken off-premises.,False
Data Security Governance Guideline_v3.0,9,9,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"It must be ensured that all media is securely handled, stored, and transported to prevent unauthorized access or data leakage considering the classification.","It must be ensured that all media is securely handled, stored, and transported to prevent unauthorized access or data leakage considering the classification.",False
Data Security Governance Guideline_v3.0,9.1,9.1,Content delta: requirement differs,Content delta: requirement differs,confirmed,Confirmed after footnote/reference stripping.,"All media containing information categorized as “External”, “Internal”, ""Confidential"", ""Strictly Confidential"" or ""Data Crown Jewel"" must be protected against unauthorized access, misuse, or corruption during transportation.","All media containing information classified as “External”, “Internal” , ""Confidential"", ""Strictly Confidential"" or ""Data Crown Jewel"" must be protected against unauthorized access, misuse, or corruption during transportation.",False
Data Security Governance Guideline_v3.0,9.2,9.2,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Media packaging must ensure that the content is protected from any physical damage and loss.,Media packaging must ensure that the content is protected from any physical damage and loss.,False
